d,net_gex,spot,dollar_vol
2020-01-02,6844504857,324.1,19216450055.0
2020-01-03,2284856176,322.77,25054384662.0
2020-01-06,2744642892,323.17,18011829011.0
2020-01-07,2463459535,323.05,13069403617.0
2020-01-08,6006769648,325.38,22158638034.0
2020-01-09,7356883340,326.35,15833803149.0
2020-01-10,4615459513,325.62,17272172850.0
2020-01-13,7398295014,327.49,15442116635.0
2020-01-14,6414002728,327.52,20574601127.0
2020-01-15,5243214546,327.67,23648255730.0
2020-01-16,11747340083,330.49,17886326002.0
2020-01-17,5053534779,331.71,31816080870.0
2020-01-21,3783640604,331.39,25756056171.0
2020-01-22,3240391477,331.49,16207462787.0
2020-01-23,3832565425,331.82,17237166423.0
2020-01-24,-929073206,328.44,28793149606.0
2020-01-27,-4906011359,323.98,27194218750.0
2020-01-28,-1400472385,327.26,20866697195.0
2020-01-29,-2103686891,327.07,17601192255.0
2020-01-30,-2738695905,327.08,24737152471.0
2020-01-31,-4039168575,321.49,36627546139.0
2020-02-03,-2559387476,324.33,22391181623.0
2020-02-04,1903007089,329.27,20590337039.0
2020-02-05,3961045765,332.65,21952482180.0
2020-02-06,4980230828,333.93,16819133159.0
2020-02-07,1884465631,332.54,21307109463.0
2020-02-10,3013375636,333.99,14079987292.0
2020-02-11,5082732498,335.43,18393872806.0
2020-02-12,6640302452,337.39,14844017425.0
2020-02-13,3985730412,336.8,18370410281.0
2020-02-14,5273149724,337.21,21802951114.0
2020-02-18,4608396161,336.73,19269778955.0
2020-02-19,7526542282,338.45,16515965419.0
2020-02-20,3887820319,336.82,24989358535.0
2020-02-21,-148835804,333.15,37946090186.0
2020-02-24,-3852967918,323.67,51938124091.0
2020-02-25,-5570022880,313.74,68443210644.0
2020-02-26,-4777222570,312.29,60672038700.0
2020-02-27,-5559258041,300.96,84598012562.0
2020-02-28,-3823552263,289.48,114052934268.0
2020-03-02,-2948868270,305.36,73780894850.0
2020-03-03,-3048229870,302.77,90113760453.0
2020-03-04,-1670531845,311.29,55255265737.0
2020-03-05,-3484475405,301.35,56368500736.0
2020-03-06,-3410579554,295.6,68019343358.0
2020-03-09,-3556089759,278.2,84851509578.0
2020-03-10,-3211983844,286.12,79732011034.0
2020-03-11,-3355501215,274.71,70048576328.0
2020-03-12,-2956786651,251.77,97313878116.0
2020-03-13,-2608481659,262.41,88758744466.0
2020-03-16,-2236903868,245.01,71293015814.0
2020-03-17,-2154243564,251.54,66251423200.0
2020-03-18,-2120449392,233.34,78623304000.0
2020-03-19,-2255038816,244.11,69584832631.0
2020-03-20,-1972216835,231.42,79429934499.0
2020-03-23,-2152188046,221.72,72687317345.0
2020-03-24,-1502277734,241.4,57260486238.0
2020-03-25,-1263086835,251.79,73896401727.0
2020-03-26,-1121125208,256.95,67293690505.0
2020-03-27,-1532121736,255.85,56852546493.0
2020-03-30,-1104304710,261.3,44838828629.0
2020-03-31,-1346566163,258.05,50230603525.0
2020-04-01,-2170597372,245.0,46658863633.0
2020-04-02,-1867940664,250.47,44740218857.0
2020-04-03,-2246310060,246.33,33644934559.0
2020-04-06,-740663380,263.7,49809886677.0
2020-04-07,-522707912,268.18,53404394520.0
2020-04-08,-336975203,273.02,42138826047.0
2020-04-09,-394118348,278.61,52857779759.0
2020-04-13,-715978339,275.58,31656546727.0
2020-04-14,176726757,283.96,38068556632.0
2020-04-15,-760169844,278.23,33824225189.0
2020-04-16,-532349954,278.8,36784906334.0
2020-04-17,7024623,285.71,42045733221.0
2020-04-20,-798053877,282.22,28189777420.0
2020-04-21,-1999434568,273.96,34508352608.0
2020-04-22,-950085949,280.21,25942792127.0
2020-04-23,-1104092469,280.18,29222381670.0
2020-04-24,-535593048,283.57,24070333808.0
2020-04-27,199473266,288.08,22360218079.0
2020-04-28,-304084579,286.8,30078798257.0
2020-04-29,466755603,294.49,34817396361.0
2020-04-30,-981592511,289.98,35700487166.0
2020-05-01,-2021671844,282.54,35399653270.0
2020-05-04,-1567798069,283.76,22933213916.0
2020-05-05,-910784279,286.01,22772109875.0
2020-05-06,-1514460766,284.85,20930066550.0
2020-05-07,-493413621,287.67,21648034521.0
2020-05-08,684943166,292.35,22357740043.0
2020-05-11,160294783,293.21,23257903500.0
2020-05-12,-1626003564,287.92,27483283523.0
2020-05-13,-3184591490,280.18,40753462643.0
2020-05-14,-2190057687,284.1,34760042312.0
2020-05-15,-1302858009,285.07,31818962628.0
2020-05-18,779255751,296.49,35312621000.0
2020-05-19,-217038201,293.74,27792420037.0
2020-05-20,955833554,297.07,25494913952.0
2020-05-21,-337038269,295.05,23087305614.0
2020-05-22,-605953598,295.1,18895810764.0
2020-05-26,690756383,299.43,26603583518.0
2020-05-27,840805301,302.83,31815225294.0
2020-05-28,431069678,303.53,27390063554.0
2020-05-29,-642309115,303.96,36241713128.0
2020-06-01,-30602058,305.65,17036947884.0
2020-06-02,341138343,306.6,22880237979.0
2020-06-03,1418654202,312.74,28897752690.0
2020-06-04,166720373,310.15,23599343274.0
2020-06-05,1937195384,318.64,48068557147.0
2020-06-08,1405935428,322.35,23800836739.0
2020-06-09,1072148698,321.43,24854553230.0
2020-06-10,727086199,319.89,30305255200.0
2020-06-11,-3397832846,302.1,62900715531.0
2020-06-12,-2209240833,303.33,59223266505.0
2020-06-15,-1887556426,305.51,41692076377.0
2020-06-16,-595142763,311.6,43071901224.0
2020-06-17,-971041725,311.54,25992101479.0
2020-06-18,-1687802003,311.06,25200771987.0
2020-06-19,-1113951645,309.55,41836030530.0
2020-06-22,-1207819140,310.35,23187596264.0
2020-06-23,-370759407,312.82,21366437124.0
2020-06-24,-2464742976,305.31,40387256729.0
2020-06-25,-2021649788,306.51,27497990346.0
2020-06-26,-3085324387,301.04,38394696488.0
2020-06-29,-2079129579,303.07,24287778236.0
2020-06-30,-402542522,308.6,34966418867.0
2020-07-01,130387522,311.71,22480560385.0
2020-07-02,391882321,312.74,21651340328.0
2020-07-06,955095856,316.56,19566359537.0
2020-07-07,-548477704,314.4,26015499699.0
2020-07-08,153058049,315.67,17275632148.0
2020-07-09,-794347927,314.17,26204893803.0
2020-07-10,948514923,317.35,18277431325.0
2020-07-13,416197604,316.04,32427732523.0
2020-07-14,784925442,318.05,29869091698.0
2020-07-15,2341624300,322.06,28064194057.0
2020-07-16,1767173333,320.8,17522352242.0
2020-07-17,1280614806,322.09,20195940905.0
2020-07-20,2136799218,324.88,18262070428.0
2020-07-21,1671099328,325.12,18620538481.0
2020-07-22,2163099633,326.74,18890186447.0
2020-07-23,420407319,322.68,24460343833.0
2020-07-24,-429416330,320.41,23670226968.0
2020-07-27,567985073,323.1,15609263519.0
2020-07-28,-52048861,321.74,18465669922.0
2020-07-29,1131028968,325.18,15753429267.0
2020-07-30,366263907,323.68,20040715803.0
2020-07-31,1129825115,325.31,27749889002.0
2020-08-03,1890096751,329.25,17451483195.0
2020-08-04,1439340696,329.32,13835421972.0
2020-08-05,2037636147,331.71,14180332522.0
2020-08-06,2529466857,334.07,14603333215.0
2020-08-07,2409691384,334.44,19173638351.0
2020-08-10,2456302307,335.07,14859744621.0
2020-08-11,1486885755,333.35,23163245230.0
2020-08-12,3006616145,337.79,18145633667.0
2020-08-13,2346110798,336.82,14084916402.0
2020-08-14,1678215224,336.07,15919192963.0
2020-08-17,2643275108,338.01,11989384840.0
2020-08-18,2802892906,338.71,13116848463.0
2020-08-19,1855076143,337.52,22949918614.0
2020-08-20,1958568206,338.64,14278054532.0
2020-08-21,1915335713,339.23,18707589173.0
2020-08-24,2499413084,342.38,16662037656.0
2020-08-25,3746416362,344.01,13236025020.0
2020-08-26,3110336929,347.47,17653150186.0
2020-08-27,3535569271,349.07,20215017274.0
2020-08-28,3237997247,350.64,17034295910.0
2020-08-31,2567887291,350.92,23089111391.0
2020-09-01,3012467321,351.92,19360807955.0
2020-09-02,3286985262,358.4,24874458849.0
2020-09-03,-963555125,344.45,51121555997.0
2020-09-04,-45377758,343.68,47670774710.0
2020-09-08,-1433070482,334.54,38140981635.0
2020-09-09,137467697,340.86,31077975699.0
2020-09-10,-1683326464,334.89,30240251682.0
2020-09-11,-1358764148,333.93,28288267405.0
2020-09-14,38314570,339.26,22204904661.0
2020-09-15,300065201,339.71,18002103264.0
2020-09-16,703639487,340.1,27815767321.0
2020-09-17,-821387784,334.83,30737184737.0
2020-09-18,-1306418456,331.42,35008526989.0
2020-09-21,-2413721202,325.58,32517428197.0
