d,callv,putv,totv,otm_call_0dte
2022-09-02,710499,771527,1482026,175632
2022-09-06,564456,789577,1354033,246068
2022-09-07,522746,705366,1228112,202118
2022-09-09,724710,782550,1507260,89066
2022-09-12,642451,738969,1381420,196784
2022-09-14,613398,803719,1417117,243833
2022-09-16,728644,1099737,1828381,471135
2022-09-19,564647,702439,1267086,179500
2022-09-21,357550,407525,765075,242051
2022-09-23,715551,843516,1559067,539015
2022-09-26,521480,598274,1119754,236214
2022-09-28,634939,768308,1403247,256602
2022-09-30,581549,700511,1282060,227904
2022-10-03,556735,622022,1178757,161696
2022-10-05,506006,806155,1312161,371934
2022-10-07,692386,926012,1618398,460965
2022-10-10,461743,582578,1044321,410609
2022-10-12,560687,670802,1231489,362218
2022-10-14,778390,899848,1678238,643092
2022-10-17,691272,692143,1383415,455553
2022-10-19,615005,630412,1245417,372122
2022-10-21,746128,957475,1703603,506683
2022-10-24,755292,784783,1540075,367928
2022-10-26,600250,628478,1228728,124592
2022-10-28,796187,754323,1550510,170173
2022-10-31,549734,541614,1091348,248302
2022-11-02,238370,250385,488755,162468
2022-11-04,737752,871630,1609382,299669
2022-11-07,538756,573253,1112009,210560
2022-11-09,703825,725740,1429565,449985
2022-11-11,673061,613773,1286834,261935
2022-11-14,549383,585067,1134450,148453
2022-11-15,629750,495407,1125157,323707
2022-11-16,470436,625048,1095484,302005
2022-11-17,446117,385165,831282,277001
2022-11-18,756745,632138,1388883,502566
2022-11-21,480768,493586,974354,287935
2022-11-22,474431,501873,976304,108171
2022-11-23,497735,453714,951449,101836
2022-11-25,394230,429389,823619,89889
2022-11-28,476025,549950,1025975,276876
2022-11-29,495214,535203,1030417,145615
2022-11-30,319092,343379,662471,178262
2022-12-01,689968,777606,1467574,329609
2022-12-02,594052,698054,1292106,278190
2022-12-05,550188,541914,1092102,208822
2022-12-06,661463,735126,1396589,482695
2022-12-07,705881,813998,1519879,201400
2022-12-08,615192,641591,1256783,150200
2022-12-09,645261,704292,1349553,230387
2022-12-12,449116,599325,1048441,134087
2022-12-13,891759,798197,1689956,735195
2022-12-14,263576,321957,585533,139911
2022-12-15,593624,734666,1328290,470702
2022-12-16,675361,783684,1459045,556335
2022-12-19,443069,556605,999674,295886
2022-12-20,620911,740709,1361620,248331
2022-12-21,650811,626880,1277691,79555
2022-12-22,581154,699677,1280831,476600
2022-12-23,715941,840492,1556433,330880
2022-12-27,508339,649801,1158140,219609
2022-12-28,567829,676516,1244345,476812
2022-12-29,661216,645204,1306420,51472
2022-12-30,583652,842137,1425789,254305
2023-01-03,614411,651025,1265436,355467
2023-01-04,503164,606922,1110086,253079
2023-01-05,542757,759325,1302082,330228
2023-01-06,856751,854840,1711591,176457
2023-01-09,763431,715281,1478712,167397
2023-01-10,781441,842362,1623803,310896
2023-01-11,639269,730082,1369351,332547
2023-01-12,867137,775521,1642658,567610
2023-01-13,581733,711198,1292931,120080
2023-01-17,604501,608009,1212510,240149
2023-01-18,679027,676827,1355854,470170
2023-01-19,565018,796847,1361865,318152
2023-01-20,702410,681885,1384295,191168
2023-01-23,865315,730067,1595382,110208
2023-01-24,694357,780877,1475234,161041
2023-01-25,671620,966543,1638163,342085
2023-01-26,915247,796130,1711377,711502
2023-01-27,900955,847222,1748177,404637
2023-01-30,795688,795968,1591656,508107
2023-01-31,728264,743738,1472002,97396
2023-02-01,409475,318704,728179,281953
2023-02-02,855326,700037,1555363,211155
2023-02-03,810583,870814,1681397,209718
2023-02-06,711614,728657,1440271,205576
2023-02-07,395504,351983,747487,203142
2023-02-08,703321,614692,1318013,395624
2023-02-09,590875,614456,1205331,322570
2023-02-10,769802,834226,1604028,385053
2023-02-13,593146,752751,1345897,76189
2023-02-14,796652,894043,1690695,466237
2023-02-15,628401,596231,1224632,224457
2023-02-16,786163,613566,1399729,142667
2023-02-17,887787,936997,1824784,604417
2023-02-21,720554,822325,1542879,448988
2023-02-22,587538,599890,1187428,230539
2023-02-23,598545,604435,1202980,408194
2023-02-24,669158,813244,1482402,342376
2023-02-27,661724,766582,1428306,286068
2023-02-28,669162,637602,1306764,187950
2023-03-01,709925,719630,1429555,245288
2023-03-02,597361,687365,1284726,124003
2023-03-03,725463,831732,1557195,171153
2023-03-06,666210,701684,1367894,121344
2023-03-07,777680,783227,1560907,601731
2023-03-08,568385,764060,1332445,182538
2023-03-09,668962,714921,1383883,300859
2023-03-10,857967,1077333,1935300,316630
2023-03-13,741432,912871,1654303,238955
2023-03-14,670201,736046,1406247,244188
2023-03-15,658568,754082,1412650,394298
2023-03-16,649902,765799,1415701,108760
2023-03-17,917862,832446,1750308,801968
2023-03-20,540515,613972,1154487,103292
2023-03-21,595245,732225,1327470,257807
2023-03-22,291301,272505,563806,163794
2023-03-23,518259,803862,1322121,76179
2023-03-24,693583,860381,1553964,328545
2023-03-27,587043,635354,1222397,371114
2023-03-28,525353,621089,1146442,277981
2023-03-29,536107,660436,1196543,249401
2023-03-30,504098,680489,1184587,98137
2023-03-31,496022,788397,1284419,51490
2023-04-03,561480,747164,1308644,219715
2023-04-04,574574,745802,1320376,340518
2023-04-05,453657,680448,1134105,250858
2023-04-06,566944,718296,1285240,107384
2023-04-10,549065,507197,1056262,140954
2023-04-11,520123,483423,1003546,125648
2023-04-12,807605,653005,1460610,533052
2023-04-13,563292,638443,1201735,70875
2023-04-14,897354,981189,1878543,501686
2023-04-17,526411,605209,1131620,108223
2023-04-18,702742,716916,1419658,304944
2023-04-19,501187,522393,1023580,59135
2023-04-20,635374,517619,1152993,84660
2023-04-21,768876,885402,1654278,342986
2023-04-24,641610,629954,1271564,245457
2023-04-25,660908,610421,1271329,251597
2023-04-26,618695,617062,1235757,181732
2023-04-27,533295,611540,1144835,132142
2023-04-28,857898,924815,1782713,425587
2023-05-01,575512,589903,1165415,55214
2023-05-02,958033,1028044,1986077,857434
2023-05-03,353149,357234,710383,231733
2023-05-04,558924,745815,1304739,254096
2023-05-05,705375,624094,1329469,73642
2023-05-08,441710,637241,1078951,97472
2023-05-09,541066,570095,1111161,83562
2023-05-10,964937,767726,1732663,523428
2023-05-11,652343,702632,1354975,125537
2023-05-12,576335,712819,1289154,272292
2023-05-15,523471,679702,1203173,103397
2023-05-16,581222,766914,1348136,130353
2023-05-17,518127,640430,1158557,47848
2023-05-18,772110,780005,1552115,65655
2023-05-19,484853,651607,1136460,96170
2023-05-22,665006,947201,1612207,128613
2023-05-23,599186,713714,1312900,134153
2023-05-24,652173,748196,1400369,311317
2023-05-25,592936,585204,1178140,146640
2023-05-26,813890,826441,1640331,81145
2023-05-30,617602,675538,1293140,273223
2023-05-31,626387,743190,1369577,356248
2023-06-01,743073,677968,1421041,64694
2023-06-02,1097408,933875,2031283,83859
2023-06-05,639399,623095,1262494,99652
2023-06-06,674093,818427,1492520,31816
2023-06-07,756700,868150,1624850,362268
2023-06-08,584047,665595,1249642,22982
2023-06-09,805822,692819,1498641,105528
2023-06-12,418762,536150,954912,87107
2023-06-13,751268,733423,1484691,147469
2023-06-14,309480,344553,654033,109075
2023-06-15,641218,836227,1477445,62826
2023-06-16,847921,686405,1534326,393125
2023-06-20,587242,727177,1314419,206198
2023-06-21,564565,672212,1236777,160368
2023-06-22,640124,604695,1244819,157516
2023-06-23,672829,654596,1327425,150164
2023-06-26,681832,590802,1272634,166983
2023-06-27,681800,554504,1236304,88628
2023-06-28,726369,605323,1331692,58702
2023-06-29,749148,495777,1244925,177064
2023-06-30,784839,721507,1506346,174429
2023-07-03,545226,383837,929063,47377
2023-07-05,419604,384632,804236,15543
2023-07-06,717474,604111,1321585,330199
2023-07-07,675559,488702,1164261,69075
2023-07-10,676424,532388,1208812,197564
2023-07-11,676744,482243,1158987,75601
2023-07-12,707660,505310,1212970,101067
2023-07-13,473867,416244,890111,71105
2023-07-14,730821,560484,1291305,99562
2023-07-17,429579,410839,840418,36993
2023-07-18,519372,499376,1018748,31228
2023-07-19,700830,458016,1158846,165161
2023-07-20,652197,615893,1268090,239885
2023-07-21,619344,650083,1269427,109059
2023-07-24,559220,604027,1163247,45804
2023-07-25,372753,397343,770096,76569
2023-07-26,265997,218428,484425,84560
2023-07-27,605266,616939,1222205,272717
2023-07-28,612378,654216,1266594,55826
2023-07-31,504405,540756,1045161,82118
2023-08-01,554161,583521,1137682,80702
2023-08-02,675629,816694,1492323,302966
2023-08-03,503006,676552,1179558,149883
2023-08-04,728124,732451,1460575,123045
2023-08-07,544340,711865,1256205,97129
2023-08-08,619458,761039,1380497,342828
2023-08-09,542036,685913,1227949,246324
2023-08-10,752597,960090,1712687,327909
2023-08-11,805331,952953,1758284,231865
2023-08-14,693334,650184,1343518,72034
2023-08-15,723808,785180,1508988,320001
2023-08-16,600391,642657,1243048,104558
2023-08-17,649095,792579,1441674,177202
2023-08-18,745934,909572,1655506,201525
2023-08-21,641154,626606,1267760,350715
2023-08-22,706559,786295,1492854,262271
2023-08-23,535726,606196,1141922,42486
2023-08-24,679146,995130,1674276,579475
2023-08-25,683306,995685,1678991,611522
2023-08-28,555607,979633,1535240,136606
2023-08-29,792904,1091098,1884002,57550
2023-08-30,880277,878193,1758470,249423
2023-08-31,640131,604820,1244951,113136
2023-09-01,732695,919690,1652385,287923
2023-09-05,493192,676804,1169996,77486
2023-09-06,612041,775586,1387627,439375
2023-09-07,610314,755483,1365797,91607
2023-09-08,731385,623034,1354419,88696
2023-09-11,705621,667564,1373185,126619
2023-09-12,586942,613765,1200707,149758
2023-09-13,666567,812248,1478815,95645
2023-09-14,632680,846294,1478974,61009
2023-09-15,851092,811579,1662671,657355
2023-09-18,518988,618812,1137800,114958
2023-09-19,580274,726948,1307222,352018
2023-09-20,312532,387352,699884,132968
2023-09-21,637708,741820,1379528,268474
2023-09-22,680703,854489,1535192,106549
2023-09-25,499643,657995,1157638,184457
2023-09-26,640617,757710,1398327,216083
2023-09-27,641811,739246,1381057,388467
2023-09-28,588638,770422,1359060,129993
2023-09-29,597207,706226,1303433,199007
2023-10-02,624014,627062,1251076,273090
2023-10-03,840059,924052,1764111,701806
2023-10-04,705419,874407,1579826,513670
2023-10-05,632580,833797,1466377,469756
2023-10-06,788465,1028127,1816592,151726
2023-10-09,438688,642487,1081175,206646
2023-10-10,781708,663755,1445463,135300
2023-10-11,610404,644773,1255177,237768
2023-10-12,648389,729930,1378319,184711
2023-10-13,667998,889645,1557643,573881
2023-10-16,706982,885552,1592534,75021
2023-10-17,741740,842192,1583932,133444
2023-10-18,767375,924627,1692002,553894
2023-10-19,516932,696926,1213858,314770
2023-10-20,743306,1016059,1759365,599572
2023-10-23,746721,888679,1635400,183476
2023-10-24,780247,671281,1451528,280383
2023-10-25,694157,623710,1317867,317065
2023-10-26,750279,825495,1575774,307198
2023-10-27,782537,776597,1559134,297023
2023-10-30,663371,916388,1579759,294258
2023-10-31,667359,956048,1623407,122413
2023-11-01,510891,543615,1054506,158610
2023-11-02,729085,768633,1497718,94455
2023-11-03,865048,873967,1739015,199800
2023-11-06,576758,673624,1250382,151717
2023-11-07,709951,683932,1393883,62799
2023-11-08,614803,639645,1254448,265637
2023-11-09,553751,680283,1234034,134790
2023-11-10,518229,919395,1437624,112940
2023-11-13,677398,668883,1346281,121063
2023-11-14,832813,746542,1579355,95644
2023-11-15,666507,604760,1271267,85578
2023-11-16,577422,708812,1286234,148242
2023-11-17,575137,616967,1192104,105551
2023-11-20,567237,510053,1077290,66262
2023-11-21,417649,489614,907263,145161
2023-11-22,752293,738730,1491023,250287
2023-11-24,391453,435227,826680,24223
2023-11-27,450339,522829,973168,80330
2023-11-28,514113,620831,1134944,25439
2023-11-29,775111,700640,1475751,229814
2023-11-30,648100,745504,1393604,126420
2023-12-01,470509,493086,963595,107296
2023-12-04,664930,707878,1372808,386918
2023-12-05,801058,552450,1353508,108981
2023-12-06,720619,645205,1365824,190577
2023-12-07,597439,754466,1351905,40372
2023-12-08,760924,768849,1529773,117332
2023-12-11,528579,548311,1076890,29294
2023-12-12,576734,506132,1082866,75060
2023-12-13,284195,242822,527017,58802
2023-12-14,700056,622694,1322750,257388
2023-12-15,563237,554613,1117850,101742
2023-12-18,489872,477290,967162,81219
2023-12-19,546904,533951,1080855,22425
2023-12-20,515223,411862,927085,36036
2023-12-21,688139,681527,1369666,247203
2023-12-22,715410,617402,1332812,218584
2023-12-26,434060,415963,850023,39696
2023-12-27,486367,502943,989310,94075
2023-12-28,423961,420429,844390,59170
2023-12-29,509116,508258,1017374,221644
2024-01-02,541417,533374,1074791,183738
2024-01-03,586981,671153,1258134,125329
2024-01-04,506710,568583,1075293,75437
2024-01-05,671777,707116,1378893,95598
2024-01-08,611019,628153,1239172,73113
2024-01-09,680397,580440,1260837,148519
2024-01-10,699664,565644,1265308,95892
2024-01-11,806935,852216,1659151,546986
2024-01-12,816996,979563,1796559,382924
2024-01-16,754895,740565,1495460,178855
2024-01-17,743014,704221,1447235,168577
2024-01-18,707156,689713,1396869,146793
2024-01-19,861636,672825,1534461,107715
2024-01-22,651996,856570,1508566,251891
2024-01-23,568156,599421,1167577,152077
2024-01-24,803340,687657,1490997,75809
2024-01-25,662938,701738,1364676,143240
2024-01-26,701943,609524,1311467,53218
2024-01-29,583369,643832,1227201,148898
2024-01-30,418059,548285,966344,96651
2024-01-31,528809,457078,985887,264473
2024-02-01,609503,802825,1412328,349439
2024-02-02,913600,750944,1664544,181472
2024-02-05,761066,751823,1512889,403143
2024-02-06,860323,738780,1599103,219132
2024-02-07,788642,844858,1633500,180310
2024-02-08,501956,564303,1066259,70104
2024-02-09,666094,467934,1134028,69496
2024-02-12,400975,408732,809707,38653
2024-02-13,823149,780024,1603173,229784
2024-02-14,799580,736327,1535907,289190
2024-02-15,635048,731475,1366523,159088
2024-02-16,718597,738061,1456658,214908
2024-02-20,766204,752313,1518517,222841
2024-02-21,404427,395712,800139,171405
2024-02-22,801211,743727,1544938,182008
2024-02-23,747352,823059,1570411,213962
2024-02-26,399433,601037,1000470,18948
2024-02-27,516084,624361,1140445,111372
2024-02-28,509186,569246,1078432,46269
2024-02-29,654161,660520,1314681,174669
2024-03-01,650068,645195,1295263,118247
2024-03-04,440305,496631,936936,48985
2024-03-05,775398,940316,1715714,372360
2024-03-06,646254,696207,1342461,138196
2024-03-07,658424,720086,1378510,124875
2024-03-08,1006627,767758,1774385,274055
2024-03-11,698179,803587,1501766,147286
2024-03-12,893614,986596,1880210,169789
2024-03-13,667000,718781,1385781,176724
2024-03-14,815784,871835,1687619,296506
2024-03-15,797734,751327,1549061,269153
2024-03-18,570205,642952,1213157,161102
2024-03-19,480538,788401,1268939,143060
2024-03-20,313548,276698,590246,177159
2024-03-21,531101,634064,1165165,76503
2024-03-22,452164,644934,1097098,156097
2024-03-25,472203,480714,952917,86799
2024-03-26,455607,378100,833707,65063
2024-03-27,501366,638147,1139513,108236
2024-03-28,381839,405174,787013,33856
2024-04-01,556994,595932,1152926,247313
2024-04-02,741871,619597,1361468,268669
2024-04-03,515982,533850,1049832,62952
2024-04-04,444722,490002,934724,89357
2024-04-05,729988,731043,1461031,157344
2024-04-08,552226,562353,1114579,119116
2024-04-09,833976,880273,1714249,629117
2024-04-10,693737,712569,1406306,342349
2024-04-11,678413,748173,1426586,375038
2024-04-12,777349,831542,1608891,498451
2024-04-15,642198,877452,1519650,481711
2024-04-16,601398,758202,1359600,371268
2024-04-17,587998,798643,1386641,376775
2024-04-18,705540,772401,1477941,221617
2024-04-19,732953,1062631,1795584,444243
2024-04-22,577949,785636,1363585,361245
2024-04-23,938357,834628,1772985,130431
2024-04-24,742128,745276,1487404,441184
2024-04-25,727164,907081,1634245,339208
2024-04-26,758174,828960,1587134,143796
2024-04-29,782750,721509,1504259,170905
2024-04-30,552686,695927,1248613,163760
2024-05-01,410764,502789,913553,245269
2024-05-02,773213,832993,1606206,384972
2024-05-03,921355,1166273,2087628,532639
2024-05-06,532183,641231,1173414,135086
2024-05-07,555931,722248,1278179,100143
2024-05-08,560344,611705,1172049,116808
2024-05-09,691520,657143,1348663,89078
2024-05-10,848009,886009,1734018,371011
2024-05-13,439536,511595,951131,91401
2024-05-14,584299,674928,1259227,108877
2024-05-15,612136,664494,1276630,144431
2024-05-16,534528,486364,1020892,24790
2024-05-17,405081,538868,943949,60695
2024-05-20,476166,546127,1022293,69729
2024-05-21,488392,406362,894754,75923
2024-05-22,191888,182641,374529,60781
2024-05-23,735600,672916,1408516,357997
2024-05-24,566669,669846,1236515,72147
2024-05-28,477529,542281,1019810,99574
2024-05-29,650636,522084,1172720,205514
2024-05-30,598955,649095,1248050,188974
2024-05-31,811061,755350,1566411,526239
2024-06-03,597248,931538,1528786,412102
2024-06-04,630917,796726,1427643,267503
2024-06-05,652456,711580,1364036,170830
2024-06-06,475972,690645,1166617,114248
2024-06-07,683239,748554,1431793,194091
2024-06-10,408456,405480,813936,59375
2024-06-11,696106,530172,1226278,51536
2024-06-12,538557,524741,1063298,243988
2024-06-13,535722,705763,1241485,229420
2024-06-14,618424,757889,1376313,172745
2024-06-17,517634,589144,1106778,49748
2024-06-18,552773,583353,1136126,247932
2024-06-20,593247,640795,1234042,126713
2024-06-21,632055,717174,1349229,202489
2024-06-24,838529,763007,1601536,236334
2024-06-25,578489,550063,1128552,160959
2024-06-26,688135,476141,1164276,213346
2024-06-27,603284,681113,1284397,169553
2024-06-28,779464,823390,1602854,214264
2024-07-01,684421,863191,1547612,383182
2024-07-02,676426,700708,1377134,150895
2024-07-03,685870,659402,1345272,77877
2024-07-05,622276,658365,1280641,77611
2024-07-08,583465,591757,1175222,172017
2024-07-09,525559,602906,1128465,84549
2024-07-10,459620,454738,914358,115123
2024-07-11,741596,879547,1621143,511948
2024-07-12,928903,617007,1545910,150324
2024-07-15,720323,598965,1319288,97721
2024-07-16,784087,887243,1671330,265864
2024-07-17,803451,739182,1542633,332844
2024-07-18,950690,817023,1767713,540876
2024-07-19,740458,749442,1489900,359855
2024-07-22,888393,715390,1603783,176665
2024-07-23,779039,748837,1527876,244351
2024-07-24,917553,990714,1908267,582380
2024-07-25,1065547,1014237,2079784,374309
2024-07-26,945141,803337,1748478,411376
2024-07-29,910820,810105,1720925,653154
2024-07-30,671087,808043,1479130,470931
2024-07-31,661469,722454,1383923,302339
2024-08-01,1084519,1101209,2185728,1026702
2024-08-02,765290,1131880,1897170,684588
2024-08-05,426032,529913,955945,327765
2024-08-06,792548,689966,1482514,325833
2024-08-07,772076,817060,1589136,336885
2024-08-08,774504,681553,1456057,254661
2024-08-09,759940,828723,1588663,332319
2024-08-12,765167,724772,1489939,193438
2024-08-13,825914,821698,1647612,172541
2024-08-14,770718,725736,1496454,270628
2024-08-15,790677,773561,1564238,161461
2024-08-16,743283,639635,1382918,142361
2024-08-19,727547,633371,1360918,50557
2024-08-20,856103,809629,1665732,311062
2024-08-21,865848,765384,1631232,450320
2024-08-22,822304,751903,1574207,373455
2024-08-23,1068522,1098694,2167216,660543
2024-08-26,770105,748715,1518820,497203
2024-08-27,816909,711641,1528550,92872
2024-08-28,402538,400464,803002,236246
2024-08-29,762828,605970,1368798,87184
2024-08-30,681924,696270,1378194,370584
2024-09-03,928747,826411,1755158,739716
2024-09-04,822293,720578,1542871,259101
2024-09-05,822733,830037,1652770,591624
2024-09-06,928734,1190707,2119441,675408
2024-09-09,603311,849406,1452717,322427
2024-09-10,591461,897869,1489330,246363
2024-09-11,967395,996988,1964383,784251
2024-09-12,911331,1014991,1926322,541911
2024-09-13,961608,872991,1834599,237531
2024-09-16,723149,969462,1692611,276217
2024-09-17,799223,884959,1684182,171898
2024-09-18,245806,370816,616622,123200
2024-09-19,758015,1006925,1764940,287508
2024-09-20,650347,742225,1392572,324701
2024-09-23,630672,658962,1289634,107884
2024-09-24,781553,763422,1544975,102191
2024-09-25,559368,657690,1217058,81604
2024-09-26,737116,906783,1643899,497955
2024-09-27,518582,700031,1218613,80291
2024-09-30,420412,636068,1056480,73963
2024-10-01,991957,944101,1936058,657313
2024-10-02,742121,899432,1641553,179366
2024-10-03,829732,945469,1775201,434438
2024-10-04,864439,1007968,1872407,251063
2024-10-07,514185,699139,1213324,153137
2024-10-08,667075,815104,1482179,99775
2024-10-09,553831,664429,1218260,45299
2024-10-10,593166,718081,1311247,193175
2024-10-11,753459,856228,1609687,170873
2024-10-14,547084,576694,1123778,126133
2024-10-15,639199,903645,1542844,381728
2024-10-16,676694,660196,1336890,233316
2024-10-17,617588,631429,1249017,182623
2024-10-18,561415,534795,1096210,98264
2024-10-21,543751,717490,1261241,152783
2024-10-22,646376,583124,1229500,102268
