d,clock,callv,putv,totv
2023-01-03,12:00,1020333,1076163,2096496
2023-01-03,13:30,1270672,1293524,2564196
2023-01-04,12:00,822988,1015631,1838619
2023-01-04,13:30,1160619,1529762,2690381
2023-01-05,12:00,883185,1085920,1969105
2023-01-05,13:30,1198101,1391204,2589305
2023-01-06,12:00,1265107,1407805,2672912
2023-01-06,13:30,1573128,1774501,3347629
2023-01-09,12:00,1174157,1209866,2384023
2023-01-09,13:30,1592853,1665201,3258054
2023-01-10,12:00,1087811,1235670,2323481
2023-01-10,13:30,1386124,1498440,2884564
2023-01-11,12:00,937771,1280750,2218521
2023-01-11,13:30,1217424,1699151,2916575
2023-01-12,12:00,1296693,1185296,2481989
2023-01-12,13:30,1657539,1580453,3237992
2023-01-13,12:00,897107,1156847,2053954
2023-01-13,13:30,1182479,1449930,2632409
2023-01-17,12:00,1029356,954554,1983910
2023-01-17,13:30,1279517,1152931,2432448
2023-01-18,12:00,1357508,1353033,2710541
2023-01-18,13:30,1731435,1682639,3414074
2023-01-19,12:00,958087,1261977,2220064
2023-01-19,13:30,1372252,1655765,3028017
2023-01-20,12:00,1149146,1247729,2396875
2023-01-20,13:30,1505891,1722698,3228589
2023-01-23,12:00,1444362,1350819,2795181
2023-01-23,13:30,1816494,1764461,3580955
2023-01-24,12:00,1089052,1148170,2237222
2023-01-24,13:30,1371664,1439070,2810734
2023-01-25,12:00,1189950,1475273,2665223
2023-01-25,13:30,1717919,1863054,3580973
2023-01-26,12:00,1362876,1260509,2623385
2023-01-26,13:30,1692957,1533676,3226633
2023-01-27,12:00,1455995,1328375,2784370
2023-01-27,13:30,1738340,1655164,3393504
2023-01-30,12:00,1305120,1212611,2517731
2023-01-30,13:30,1716741,1520706,3237447
2023-01-31,12:00,1151293,1243716,2395009
2023-01-31,13:30,1417337,1537658,2954995
2023-02-01,12:00,607229,489268,1096497
2023-02-01,13:30,981865,785524,1767389
2023-02-02,12:00,1300719,1144697,2445416
2023-02-02,13:30,1734138,1535420,3269558
2023-02-03,12:00,1244187,1407298,2651485
2023-02-03,13:30,1683800,1964017,3647817
2023-02-06,12:00,1150775,1232322,2383097
2023-02-06,13:30,1448180,1554465,3002645
2023-02-07,12:00,959070,797996,1757066
2023-02-07,13:30,1645336,1594309,3239645
2023-02-08,12:00,1384434,1216220,2600654
2023-02-08,13:30,1766611,1564746,3331357
2023-02-09,12:00,1140925,1141641,2282566
2023-02-09,13:30,1501097,1560890,3061987
2023-02-10,12:00,1186880,1350596,2537476
2023-02-10,13:30,1480685,1751090,3231775
2023-02-13,12:00,945254,1306045,2251299
2023-02-13,13:30,1236139,1716967,2953106
2023-02-14,12:00,1324592,1399399,2723991
2023-02-14,13:30,1719411,1768550,3487961
2023-02-15,12:00,1118999,1042639,2161638
2023-02-15,13:30,1411500,1372352,2783852
2023-02-16,12:00,1214131,1067481,2281612
2023-02-16,13:30,1441501,1344760,2786261
2023-02-17,12:00,1438870,1529140,2968010
2023-02-17,13:30,1812795,1944978,3757773
2023-02-21,12:00,1238596,1198837,2437433
2023-02-21,13:30,1645031,1505754,3150785
2023-02-22,12:00,916422,902982,1819404
2023-02-22,13:30,1307239,1370091,2677330
2023-02-23,12:00,1133694,1087671,2221365
2023-02-23,13:30,1507390,1386823,2894213
2023-02-24,12:00,1192807,1308884,2501691
2023-02-24,13:30,1554112,1615945,3170057
2023-02-27,12:00,1112681,1177477,2290158
2023-02-27,13:30,1461815,1444643,2906458
2023-02-28,12:00,1168567,1151126,2319693
2023-02-28,13:30,1385193,1491484,2876677
2023-03-01,12:00,1246419,1287978,2534397
2023-03-01,13:30,1487787,1618127,3105914
2023-03-02,12:00,894337,1156469,2050806
2023-03-02,13:30,1273726,1733284,3007010
2023-03-03,12:00,1152047,1423441,2575488
2023-03-03,13:30,1470075,1847482,3317557
2023-03-06,12:00,1118829,1250869,2369698
2023-03-06,13:30,1463998,1614671,3078669
2023-03-07,12:00,1390423,1284312,2674735
2023-03-07,13:30,1797272,1598683,3395955
2023-03-08,12:00,979014,1254272,2233286
2023-03-08,13:30,1283474,1604624,2888098
2023-03-09,12:00,1181587,1261226,2442813
2023-03-09,13:30,1712087,1844457,3556544
2023-03-10,12:00,1512802,1893282,3406084
2023-03-10,13:30,2012002,2686338,4698340
2023-03-13,12:00,1354733,1661283,3016016
2023-03-13,13:30,1699903,2093909,3793812
2023-03-14,12:00,1059796,1407959,2467755
2023-03-14,13:30,1526695,2099957,3626652
2023-03-15,12:00,1179574,1294379,2473953
2023-03-15,13:30,1645592,1759252,3404844
2023-03-16,12:00,1239422,1673925,2913347
2023-03-16,13:30,1543561,2122189,3665750
2023-03-17,12:00,1635777,1483737,3119514
2023-03-17,13:30,2030676,1890939,3921615
2023-03-20,12:00,1036336,1203542,2239878
2023-03-20,13:30,1269468,1571584,2841052
2023-03-21,12:00,1013815,1206403,2220218
2023-03-21,13:30,1274816,1542907,2817723
2023-03-22,12:00,445127,438949,884076
2023-03-22,13:30,843144,761728,1604872
2023-03-23,12:00,905555,1501749,2407304
2023-03-23,13:30,1263745,2113278,3377023
2023-03-24,12:00,1265477,1491960,2757437
2023-03-24,13:30,1575276,1921339,3496615
2023-03-27,12:00,1094555,993417,2087972
2023-03-27,13:30,1502425,1279292,2781717
2023-03-28,12:00,858339,1025813,1884152
2023-03-28,13:30,1188334,1363284,2551618
2023-03-29,12:00,841408,1037012,1878420
2023-03-29,13:30,1102646,1383510,2486156
2023-03-30,12:00,922095,1221296,2143391
2023-03-30,13:30,1253634,1546932,2800566
2023-03-31,12:00,898540,1435895,2334435
2023-03-31,13:30,1151234,1850070,3001304
2023-04-03,12:00,908964,1149095,2058059
2023-04-03,13:30,1146047,1398082,2544129
2023-04-04,12:00,1116384,1295862,2412246
2023-04-04,13:30,1411340,1546389,2957729
2023-04-05,12:00,793660,1166182,1959842
2023-04-05,13:30,1026141,1468427,2494568
2023-04-06,12:00,1102628,1387835,2490463
2023-04-06,13:30,1392234,1687462,3079696
2023-04-10,12:00,1076621,976081,2052702
2023-04-10,13:30,1347523,1267369,2614892
2023-04-11,12:00,888991,826154,1715145
2023-04-11,13:30,1099605,1081144,2180749
2023-04-12,12:00,1236426,1024559,2260985
2023-04-12,13:30,1598196,1386156,2984352
2023-04-13,12:00,919661,1046727,1966388
2023-04-13,13:30,1297313,1483304,2780617
2023-04-14,12:00,1446153,1554779,3000932
2023-04-14,13:30,1917479,1950818,3868297
2023-04-17,12:00,916168,1052063,1968231
2023-04-17,13:30,1186760,1292120,2478880
2023-04-18,12:00,1175724,1159194,2334918
2023-04-18,13:30,1517702,1476905,2994607
2023-04-19,12:00,841200,941894,1783094
2023-04-19,13:30,1156346,1294925,2451271
2023-04-20,12:00,1075845,927408,2003253
2023-04-20,13:30,1401377,1321364,2722741
2023-04-21,12:00,1197923,1325011,2522934
2023-04-21,13:30,1512339,1682895,3195234
2023-04-24,12:00,1110818,1015050,2125868
2023-04-24,13:30,1399241,1254918,2654159
2023-04-25,12:00,1142143,1005528,2147671
2023-04-25,13:30,1583188,1478401,3061589
2023-04-26,12:00,1065358,1167358,2232716
2023-04-26,13:30,1387494,1589567,2977061
2023-04-27,12:00,878417,1085908,1964325
2023-04-27,13:30,1202479,1420199,2622678
2023-04-28,12:00,1386816,1456747,2843563
2023-04-28,13:30,1658283,1767919,3426202
2023-05-01,12:00,1025912,1070749,2096661
2023-05-01,13:30,1232492,1294979,2527471
2023-05-02,12:00,1632773,1535127,3167900
2023-05-02,13:30,2133358,1919994,4053352
2023-05-03,12:00,587094,581184,1168278
2023-05-03,13:30,899600,918407,1818007
2023-05-04,12:00,1039528,1164120,2203648
2023-05-04,13:30,1320742,1502805,2823547
2023-05-05,12:00,1060204,1079427,2139631
2023-05-05,13:30,1385236,1433089,2818325
2023-05-08,12:00,786922,992127,1779049
2023-05-08,13:30,1113602,1348460,2462062
2023-05-09,12:00,868044,886504,1754548
2023-05-09,13:30,1123366,1101457,2224823
2023-05-10,12:00,1407634,1167764,2575398
2023-05-10,13:30,1872536,1591798,3464334
2023-05-11,12:00,1068220,1113031,2181251
2023-05-11,13:30,1387589,1464004,2851593
2023-05-12,12:00,1238980,1242116,2481096
2023-05-12,13:30,1663087,1572852,3235939
2023-05-15,12:00,886437,1119448,2005885
2023-05-15,13:30,1255120,1500202,2755322
2023-05-16,12:00,952611,1114308,2066919
2023-05-16,13:30,1170396,1351782,2522178
